type,x,y,z
x,4,44,5
y,5,42,4
o,7,27,3
x,7,18,0
x,10,30,3
x,11,16,0
w,14,21,0
y,14,15,0
x,16,15,0
x,19,14,0
w,21,26,0
x,22,13,0
x,24,17,0
o,30,13,1
w,30,33,1
o,31,39,3
y,35,10,3
o,35,45,4
o,37,17,3
w,38,33,0
y,40,18,3
o,41,13,3
x,42,16,4
x,43,14,4
x,44,13,4
o,45,39,1
w,46,32,0
o,47,14,5
o,48,5,6
y,51,41,3
y,51,41,3
x,53,37,2
x,54,8,7
w,55,35,1
w,56,40,3
x,57,37,3
y,58,26,3
o,58,10,8
w,59,34,1
y,59,20,5
o,60,4,9
x,60,22,4
x,62,25,5
x,63,27,4
x,64,38,4
m,64,46,5
y,65,38,4
x,65,37,3
x,65,28,3
w,67,33,0
x,68,21,4
x,68,36,4
x,69,39,6
x,69,37,5
x,69,21,4
x,69,26,5
x,69,20,5
x,70,37,5
p,71,44,6
o,71,56,6
x,71,37,5
w,72,34,0
x,74,45,6
y,76,21,5
x,75,21,5
x,77,45,5
o,78,2,11
x,80,49,4
w,80,35,0
o,80,25,4
m,83,41,2
x,84,35,1
x,84,28,2
o,84,14,8
p,85,53,3
o,87,18,7
y,87,22,4
y,87,42,2
x,87,52,3
x,93,34,2
